Admin_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Observer,Visit,ID_Method,Distance_Metre,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Habitat,Sheet,Previously_Obs,Start_DateTime,End_DateTime,Interval_Min,Time_of_Day,Observation_Duration_Min,Season,Month
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,Carw,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Visualization,25.0,False,Undetermined,Carolina Chickadee,Poecile Carolinensis,554383.0,265876.0,Cach,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,8.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Eastern Wood-Pewee,Contopus Virens,178359.0,85846.0,Eawp,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Calling,75.0,False,Undetermined,American Crow,Corvus Brachyrhynchos,179731.0,87106.0,Amcr,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Indigo Bunting,Passerina Cyanea,179150.0,94257.0,Inbu,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,Etti,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Yellow Warbler,Setophaga Petechia,950039.0,773778.0,Yewa,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,8.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Visualization,25.0,False,Undetermined,Mourning Dove,Zenaida Macroura,177125.0,82737.0,Modo,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,Fisp,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Calling,75.0,False,Undetermined,Red-Bellied Woodpecker,Melanerpes Carolinus,178195.0,84865.0,Rbwo,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,6.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,Etti,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,8.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,25.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,Etti,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,25.0,False,Undetermined,Eastern Bluebird,Sialia Sialis,179801.0,87184.0,Eabl,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Calling,25.0,False,Undetermined,Downy Woodpecker,Picoides Pubescens,178259.0,84936.0,Dowo,False,True,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Chipping Sparrow,Spizella Passerina,179435.0,84781.0,Chsp,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,25.0,False,Undetermined,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,Carw,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Calling,75.0,False,Undetermined,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,Carw,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,25.0,False,Undetermined,Baltimore Oriole,Icterus Galbula,179083.0,93655.0,Baor,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,8.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0082,Forest,2018,2018-05-22,Kimberly Serno,1,Calling,75.0,False,Undetermined,Great Crested Flycatcher,Myiarchus Crinitus,178309.0,85791.0,Gcfl,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:02:00,2018-05-22 06:12:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Eastern Wood-Pewee,Contopus Virens,178359.0,85846.0,Eawp,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,Fisp,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,8.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,25.0,False,Undetermined,Indigo Bunting,Passerina Cyanea,179150.0,94257.0,Inbu,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Calling,75.0,False,Undetermined,Mourning Dove,Zenaida Macroura,177125.0,82737.0,Modo,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,True,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,25.0,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,True,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,True,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,25.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,Fisp,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,8.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Chipping Sparrow,Spizella Passerina,179435.0,84781.0,Chsp,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,8.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,25.0,False,Undetermined,Eastern Towhee,Pipilo Erythrophthalmus,179276.0,83803.0,Eato,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,6.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,Fisp,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,True,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Calling,25.0,False,Undetermined,Blue-Gray Gnatcatcher,Polioptila Caerulea,179853.0,88038.0,Bggn,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,6.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Calling,25.0,False,Undetermined,Carolina Chickadee,Poecile Carolinensis,554383.0,265876.0,Cach,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Calling,25.0,False,Undetermined,Cedar Waxwing,Bombycilla Cedrorum,178532.0,88296.0,Cedw,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,6.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0078,Forest,2018,2018-05-22,Kimberly Serno,1,Singing,75.0,False,Undetermined,Eastern Towhee,Pipilo Erythrophthalmus,179276.0,83803.0,Eato,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,2.0,No Effect On Count,False,Forest,Anti,False,2018-05-22 07:21:00,2018-05-22 07:31:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0025,Forest,2018,2018-05-23,Elizabeth Oswald,1,Calling,75.0,False,Undetermined,Blue Jay,Cyanocitta Cristata,179680.0,86252.0,Blja,False,False,28.5,66.0,Partly Cloudy,5.5,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 08:28:00,2018-05-23 08:38:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0025,Forest,2018,2018-05-23,Elizabeth Oswald,1,Visualization,25.0,False,Undetermined,Eastern Bluebird,Sialia Sialis,179801.0,87184.0,Eabl,False,False,28.5,66.0,Partly Cloudy,5.5,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 08:28:00,2018-05-23 08:38:00,8.75,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0025,Forest,2018,2018-05-23,Elizabeth Oswald,1,Calling,75.0,False,Undetermined,American Goldfinch,Spinus Tristis,179236.0,95300.0,Amgo,False,False,28.5,66.0,Partly Cloudy,5.5,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 08:28:00,2018-05-23 08:38:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0025,Forest,2018,2018-05-23,Elizabeth Oswald,1,Visualization,51.42229491373228,True,Undetermined,Cedar Waxwing,Bombycilla Cedrorum,178532.0,88296.0,Cedw,False,False,28.5,66.0,Partly Cloudy,5.5,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 08:28:00,2018-05-23 08:38:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0025,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,Fisp,False,True,28.5,66.0,Partly Cloudy,5.5,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 08:28:00,2018-05-23 08:38:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0025,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Indigo Bunting,Passerina Cyanea,179150.0,94257.0,Inbu,False,True,28.5,66.0,Partly Cloudy,5.5,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 08:28:00,2018-05-23 08:38:00,3.75,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0025,Forest,2018,2018-05-23,Elizabeth Oswald,1,Visualization,51.42229491373228,True,Undetermined,Red-Winged Blackbird,Agelaius Phoeniceus,179045.0,93613.0,Rwbl,False,False,28.5,66.0,Partly Cloudy,5.5,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 08:28:00,2018-05-23 08:38:00,6.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0025,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Northern Mockingbird,Mimus Polyglottos,178620.0,88394.0,Nomo,False,False,28.5,66.0,Partly Cloudy,5.5,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 08:28:00,2018-05-23 08:38:00,3.75,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Calling,75.0,False,Undetermined,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,Carw,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,Etti,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,6.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Visualization,25.0,False,Male,Pileated Woodpecker,Dryocopus Pileatus,178166.0,84833.0,Piwo,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,8.75,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Visualization,25.0,False,Undetermined,Pileated Woodpecker,Dryocopus Pileatus,178166.0,84833.0,Piwo,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,8.75,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Calling,25.0,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Visualization,25.0,False,Undetermined,Brown-Headed Cowbird,Molothrus Ater,179112.0,94215.0,Bhco,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,6.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,Fisp,False,True,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,6.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,Etti,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,3.75,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Eastern Wood-Pewee,Contopus Virens,178359.0,85846.0,Eawp,False,True,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,6.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Cedar Waxwing,Bombycilla Cedrorum,178532.0,88296.0,Cedw,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Calling,25.0,False,Undetermined,Blue-Gray Gnatcatcher,Polioptila Caerulea,179853.0,88038.0,Bggn,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,True,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0052,Forest,2018,2018-05-23,Elizabeth Oswald,1,Visualization,25.0,False,Male,Brown-Headed Cowbird,Molothrus Ater,179112.0,94215.0,Bhco,False,False,27.5,62.9000015258789,Partly Cloudy,2.0,Moderate Effect On Count,False,Forest,Anti,False,2018-05-23 09:26:00,2018-05-23 09:36:00,6.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0072,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Cedar Waxwing,Bombycilla Cedrorum,178532.0,88296.0,Cedw,False,False,26.1000003814697,61.2000007629395,Clear Or Few Clouds,5.5,Slight Effect On Count,True,Forest,Anti,False,2018-05-23 10:01:00,2018-05-23 10:11:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0072,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,Carw,False,False,26.1000003814697,61.2000007629395,Clear Or Few Clouds,5.5,Slight Effect On Count,True,Forest,Anti,False,2018-05-23 10:01:00,2018-05-23 10:11:00,1.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0072,Forest,2018,2018-05-23,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Carolina Chickadee,Poecile Carolinensis,554383.0,265876.0,Cach,False,True,26.1000003814697,61.2000007629395,Clear Or Few Clouds,5.5,Slight Effect On Count,False,Forest,Anti,False,2018-05-23 10:01:00,2018-05-23 10:11:00,6.25,Morning,10.0,Summer,May
Anti,Anti 1,Anti-0072,Forest,2018,2018-05-23,Elizabeth Oswald,1,Calling,25.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,Etti,False,False,26.1000003814697,61.2000007629395,Clear Or Few Clouds,5.5,Slight Effect On Count,True,Forest,Anti,False,2018-05-23 10:01:00,2018-05-23 10:11:00,1.25,Morning,10.0,Summer,May
